CountryCode;CountryName;RegionName;SubregionName;LDC;LLDC;SIDS;Density(P/Km2);LandArea(Km2);GDP;Population;Urban_population;Fragility_State_Index_Clean;GHG_Emissions_2020;GHG_Emissions_1990;EPI.new;SUM(KBAArea);IKIPriorityCountry
AFG;Afghanistan;Asia;Southern Asia;1;1;0;60;65223;19101353833;38041754;9797273;106.6;31.27;9.24;43.6;7471195;0
AGO;Angola;Africa;Sub-Saharan Africa;1;0;0;26;1246700;94635415870;31825295;21061025;86.9;119.41;68.49;30.5;7870832;0
ALB;Albania;Europe;Southern Europe;0;0;0;105;28748;15278077447;2854191;1747593;56.8;8.06;11.37;47.1;511760;0
ARG;Argentina;Americas;Latin America and the Caribbean;0;0;0;17;2780400;449663000000;44938712;41339571;46.4;394.76;296.8;41.1;31526325;0
ARM;Armenia;Asia;Western Asia;0;1;0;104;29743;13672802158;2957731;1869848;67.5;10.46;24.52;48.3;1102154;0
AZE;Azerbaijan;Asia;Western Asia;0;1;0;123;866;39207000000;10023318;5616165;72.7;53.45;73.89;38.6;1451328;0
BDI;Burundi;Africa;Sub-Saharan Africa;1;1;0;463;2783;3012334882;11530580;1541177;94.2;7.14;6.49;30.5;106049;0
BEN;Benin;Africa;Sub-Saharan Africa;1;0;0;108;112622;14390709095;11801151;5648149;73.3;26.96;19.61;29.6;1497148;0
BFA;Burkina Faso;Africa;Sub-Saharan Africa;1;1;0;76;2742;15745810235;20321378;6092349;94;56.36;24.05;35.5;1296263;0
BGD;Bangladesh;Asia;Southern Asia;1;0;0;1265;14846;302571000000;167310838;60987417;85.2;224.35;110.03;23.1;1308881;0
BIH;Bosnia and Herzegovina;Europe;Southern Europe;0;0;0;64;51197;20047848435;3301000;1605144;72.3;24.39;33.6;39.4;109997;0
BLR;Belarus;Europe;Eastern Europe;0;0;0;47;2076;63080457023;9466856;7482982;69.9;86.3;128.92;48.5;1578133;0
BLZ;Belize;Americas;Latin America and the Caribbean;0;0;1;17;22966;1879613600;390353;179039;59.8;6.96;13.11;50;2982857;0
BOL;Bolivia;Americas;Latin America and the Caribbean;0;1;0;11;1098581;40895322865;11513100;8033035;70.7;131.43;113.88;40.1;23321537;0
BRA;Brazil;Americas;Latin America and the Caribbean;0;0;0;25;8515770;1839760000000;212559417;183241641;74.5;1469.64;1643.11;43.6;99618308;1
BTN;Bhutan;Asia;Southern Asia;0;1;0;20;38394;2446674101;727145;317538;66.4;0.32;-5.72;42.5;1382112;0
BWA;Botswana;Africa;Sub-Saharan Africa;0;1;0;4;58173;18340510789;2346179;1616550;55.3;53.52;53.86;54;14013436;0
CAF;Central African Republic;Africa;Sub-Saharan Africa;1;1;0;8;622984;2220307369;4745185;1982064;105.7;55.52;50.58;44.9;7756366;0
CHN;China;Asia;Eastern Asia;0;0;0;153;9596960;19910000000000;1397715000;842933962;65.1;12295.62;2892.41;28.4;110976728;1
CIV;Cote d'Ivoire;Africa;Sub-Saharan Africa;0;0;0;83;322463;58792205642;25716544;13176900;87.1;52.47;68.9;32.8;2334192;0
CMR;Cameroon;Africa;Sub-Saharan Africa;0;0;0;56;47544;38760467033;25876380;14741256;94;128.4;76.63;30.2;4053613;0
COD;Democratic Republic of the Congo;Africa;Sub-Saharan Africa;1;0;0;40;2344858;47319624204;86790567;39095679;107.2;688.06;436.33;36.9;16494272;0
COG;Congo;Africa;Sub-Saharan Africa;0;0;0;16;342;10820591131;5380508;3625010;90.7;29.63;19.04;40.1;6771819;0
COL;Colombia;Americas;Latin America and the Caribbean;0;0;0;46;1138910;323803000000;50339443;40827302;78.1;270.31;217.45;42.4;17479557;1
COM;Comoros;Africa;Sub-Saharan Africa;1;0;1;467;2235;1185728677;850886;248152;82.2;0.68;0.32;42.5;194647;0
CPV;Cabo Verde;Africa;Sub-Saharan Africa;0;0;1;138;4033;1981845741;483628;364029;60.1;0.73;-0.2;41.9;879165;0
CRI;Costa Rica;Americas;Latin America and the Caribbean;0;0;0;100;511;61773944174;5047561;4041885;40.4;7.08;10.92;46.3;3537867;1
CUB;Cuba;Americas;Latin America and the Caribbean;0;0;1;106;11086;100023000000;11333483;8739135;59.5;35.62;43.93;47.5;2764117;0
DJI;Djibouti;Africa;Sub-Saharan Africa;1;0;0;43;232;3318716359;97356;758549;82.2;1.39;0.91;47.5;110279;0
DMA;Dominica;Americas;Latin America and the Caribbean;0;0;1;96;751;596033333;71808;5083;;0.22;0.24;51.2;23335;0
DOM;Dominican Republic;Americas;Latin America and the Caribbean;0;0;1;225;4867;88941298258;10738958;8787475;60.8;35.5;8.5;42.2;876881;0
DZA;Algeria;Africa;Northern Africa;0;0;0;18;2381741;169988000000;43053054;31510100;70;267.01;122.88;29.6;21543827;0
ECU;Ecuador;Americas;Latin America and the Caribbean;0;0;0;71;283561;107436000000;17373662;11116711;69.4;94.19;74.1;46.5;10469694;0
EGY;Egypt;Africa;Northern Africa;0;0;0;103;1001450;303175000000;100388073;42895824;81.6;299.96;137.79;35.5;3807893;0
